claim_id,family,ledger_status,completion_bucket,evidence_strength,phase4_next_bead,phase4_recommendation,ready_for_powered_test_phase2,testability_class_phase2,claim,headline_evidence,primary_artifacts_existing,ledger_evidence_artifacts,target_wiki_page_phase2,known_blocker_or_caveat,ledger_next_check,phase2_completion_evidence,phase2_likely_blockers
ch16-seven-card-hand-total,hand odds,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,deterministic_static_fixture,"There are 1,184,040 possible seven-domino hands from a double-six set.",Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/odds_ruleset_claim_validation/validation_summary.json; w42/statistics_claims_ledger/claims.csv,w42/odds_ruleset_claim_validation/validation_summary.json; w42/odds_ruleset_claim_validation/hand_shape_priors.csv; w42/odds_ruleset_claim_validation/double_count_priors.csv; w42/odds_ruleset_claim_validation/four_trump_assignments.csv,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,Report-only support does not imply broad policy optimality.,Use as denominator fixture for generated-deal audits.,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",No blocker for fixture use; blocker only applies if promoted into policy advice.
ch16-suit-void-frequency,void frequencies,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,deterministic_static_fixture,Seven-card hands have the stated rough suit-coverage and void frequencies.,Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/odds_ruleset_claim_validation/validation_summary.json; w42/statistics_claims_ledger/claims.csv,w42/odds_ruleset_claim_validation/validation_summary.json; w42/odds_ruleset_claim_validation/hand_shape_priors.csv; w42/odds_ruleset_claim_validation/double_count_priors.csv; w42/odds_ruleset_claim_validation/four_trump_assignments.csv,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,Report-only support does not imply broad policy optimality.,Add generated-corpus chi-square audit if deal manifests become available.,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",No blocker for fixture use; blocker only applies if promoted into policy advice.
ch16-double-count-frequency,double-count odds,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,deterministic_static_fixture,The book's double-count odds match exact enumeration within rounding.,Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/odds_ruleset_claim_validation/validation_summary.json; w42/statistics_claims_ledger/claims.csv,w42/odds_ruleset_claim_validation/validation_summary.json; w42/odds_ruleset_claim_validation/hand_shape_priors.csv; w42/odds_ruleset_claim_validation/double_count_priors.csv; w42/odds_ruleset_claim_validation/four_trump_assignments.csv,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/w42-phase2-statistics-claims-ledger.md,Report-only support does not imply broad policy optimality.,Package as stable odds fixture if w42 promotes reusable odds tables.,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",No blocker for fixture use; blocker only applies if promoted into policy advice.
ch16-modal-two-doubles-one-void,hand odds,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,deterministic_static_fixture,The modal joint hand-shape bucket is two doubles and one void suit.,Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/odds_ruleset_claim_validation/validation_summary.json; w42/statistics_claims_ledger/claims.csv,w42/odds_ruleset_claim_validation/validation_summary.json,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,Report-only support does not imply broad policy optimality.,Check whether generated corpora reproduce the same modal bucket.,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",No blocker for fixture use; blocker only applies if promoted into policy advice.
ch16-four-trump-missing-second,four-trump odds,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,static_substrate_fixture_plus_auction_followup,"With four trumps including the double but missing the second-highest trump, the setter double-up risk is 10 of 27 assignments.",Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/odds_ruleset_claim_validation/validation_summary.json; w42/statistics_claims_ledger/claims.csv,w42/odds_ruleset_claim_validation/validation_summary.json; w42/odds_ruleset_claim_validation/hand_shape_priors.csv; w42/odds_ruleset_claim_validation/double_count_priors.csv; w42/odds_ruleset_claim_validation/four_trump_assignments.csv,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,Report-only support does not imply broad policy optimality.,"Run paired boss-first versus low-trump forge rollouts by bid margin, count, and score.","Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
ch16-four-trump-missing-next-two,four-trump odds,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,static_substrate_fixture_plus_auction_followup,"With four trumps including the double but missing the next two highest trumps, the setter double-up risk is 14 of 27 assignments.",Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/odds_ruleset_claim_validation/validation_summary.json; w42/statistics_claims_ledger/claims.csv,w42/odds_ruleset_claim_validation/validation_summary.json; w42/odds_ruleset_claim_validation/hand_shape_priors.csv; w42/odds_ruleset_claim_validation/double_count_priors.csv; w42/odds_ruleset_claim_validation/four_trump_assignments.csv,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,Report-only support does not imply broad policy optimality.,"Run paired rollouts split by trump-count domino, off protection, bid margin, and score.","Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
ch16-four-trump-boss-first-policy,four-trump tactics,underpowered,active_phase4,generated_partial,t42-br7n.1,keep_open_under_phase4_1,needs_generation,auction_or_bid_margin_data_needed,The exact four-trump odds imply the recommended first lead is strategically optimal.,"Phase 3 sequence tests show called double leads are strong, but blanket called-suit-first is negative.",w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/bid_only_enough_claim_tests/summary.json; w42/bid_only_enough_claim_tests/margin_summary.csv; w42/auction_bid_discipline_claim_tests/summary.json; w42/auction_bid_discipline_claim_tests/bid_margin_summary.csv; w42/auction_bid_discipline_claim_tests/natural_bucket_summary.csv; w42/auction_bid_discipline_claim_tests/partner_signal_summary.csv; w42/auction_bid_discipline_claim_tests/risk_budget_summary.csv; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/odds_ruleset_claim_validation/validation_summary.json; w42/odds_ruleset_claim_validation/hand_shape_priors.csv; w42/odds_ruleset_claim_validation/double_count_priors.csv; w42/odds_ruleset_claim_validation/four_trump_assignments.csv,wiki/experiments/w42-bidding-risk-budget-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,Needs shape-specific boss-first/low-trump exception tests.,Run forge E[Q] counterfactuals for boss-first versus low-trump lines.,Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
ch16-partner-two-plus-doubles-prior,partner-help odds,context-limited,phase3_context_limited,generated_partial,needs_new_bidding_count_exposure_bead,add_or_assign_partner_prior_followup,needs_generation,auction_or_bid_margin_data_needed,A random partner hand has a decent chance of containing at least two doubles.,Partner-high context overcall rate was 77/192 (40.104%) in phase 3.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/bid_only_enough_claim_tests/summary.json; w42/bid_only_enough_claim_tests/margin_summary.csv; w42/auction_bid_discipline_claim_tests/summary.json; w42/auction_bid_discipline_claim_tests/bid_margin_summary.csv; w42/auction_bid_discipline_claim_tests/natural_bucket_summary.csv; w42/auction_bid_discipline_claim_tests/partner_signal_summary.csv; w42/auction_bid_discipline_claim_tests/risk_budget_summary.csv; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/odds_ruleset_claim_validation/double_count_priors.csv,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/winning42-ch16-statistical-odds.md,"Partner values are offline bidder-hand labels, not observed partner bidding intelligence.",Compute conditional partner-double priors by bidder off count and correlate with make/set or regret.,Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
ch02-fixed-suit-trump-count-prior,trump counts,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,static_substrate_fixture_plus_auction_followup,Fixed pip-trump candidate declarations have a measurable exact trump-count distribution.,Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/odds_ruleset_claim_validation/validation_summary.json; w42/statistics_claims_ledger/claims.csv,w42/bidding_risk_budget_claim_validation/candidate_trump_count_distribution.csv; w42/eighty_four_claim_validation/trump_count_distribution.csv,wiki/experiments/w42-odds-ruleset-claim-validation.md; wiki/experiments/w42-bidding-risk-budget-claim-validation.md,Report-only support does not imply broad policy optimality.,Add max-suit and auction-aware versions if a bidding dataset is promoted.,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
ch02-three-plus-trumps-good-start,bidding risk,underpowered,phase3_context_limited,generated_partial,needs_new_bidding_count_exposure_bead,add_or_assign_bid_shape_followup,needs_generation,auction_or_bid_margin_data_needed,Three or more trumps are enough to make a hand a good bidding start.,Phase 3 joined static trump/count buckets to empirical make labels across 384 contract rows.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/bid_only_enough_claim_tests/summary.json; w42/bid_only_enough_claim_tests/margin_summary.csv; w42/auction_bid_discipline_claim_tests/summary.json; w42/auction_bid_discipline_claim_tests/bid_margin_summary.csv; w42/auction_bid_discipline_claim_tests/natural_bucket_summary.csv; w42/auction_bid_discipline_claim_tests/partner_signal_summary.csv; w42/auction_bid_discipline_claim_tests/risk_budget_summary.csv; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/bidding_risk_budget_claim_validation/summary.json; w42/bidding_risk_budget_claim_validation/best_candidate_trump_count_distribution.csv,wiki/experiments/w42-bidding-risk-budget-claim-validation.md,Still lacks full auction competition and score-conditioned pass/bid decisions.,Run bidding rollouts or generated auction counterfactuals.,Auction-aware or paired bid-margin dataset with make/set or regret CIs by risk bucket and explicit separation of static hand strength from bid strategy.,Real bid margin and auction counterfactuals are missing from current fixed-bid artifacts.
