contrast_id,family,book_question,paired_decision_n,mean_delta,mean_delta_ci95_low,mean_delta_ci95_high,regret_delta,threshold_mass_delta,lower_tail_mass_delta,preferred_actual_action_rate,alternative_actual_action_rate
bidder_lead_called_suit_vs_off_suit,lead_plan,"When bidder is on lead, does pulling/using the called suit beat an off-suit lead in the same public state?",91,-3.7338177813933444,-4.839703272987198,-2.754589314316655,3.7338177813933444,-0.008461538947873062,0.09505494555028585,0.3956043956043956,0.5054945054945055
bidder_lead_called_double_vs_called_non_double,lead_plan,"When both are legal called-suit leads, is the double lead better than a lower called-suit lead?",12,5.00858657558759,3.168958197037379,6.727169146140416,-5.00858657558759,0.09541666011015575,-0.06374999446173508,0.6666666666666666,0.08333333333333333
bidder_low_called_suit_vs_called_double,lead_plan_exception,Does the low-trump-first exception show up against leading the double?,12,-5.00858657558759,-7.449474235375722,-2.8150651256243386,5.00858657558759,-0.09541666011015575,0.06374999446173508,0.08333333333333333,0.6666666666666666
bidder_lead_count_vs_noncount,count_inventory,Is leading count from the bidder side better than leading non-count in the same lead state?,84,-6.2816236962652985,-8.250433767835299,-4.655044773482674,6.2816236962652985,-0.05291666675891195,0.11690476003457748,0.19047619047619047,0.6309523809523809
follower_beat_opponent_vs_decline,follow_obligation,"When an opponent is winning the trick and a follower can beat them, is taking control better than declining?",112,10.257903332350127,8.178884653434839,11.85355852484437,-10.257903332350127,0.16794643063829945,-0.09330357052385807,0.8035714285714286,0.11607142857142858
follower_count_into_opponent_vs_noncount,follow_obligation,Is dumping count while the opponent controls the trick punished relative to non-count alternatives?,182,-8.402347416095026,-10.255061740158023,-6.9949589027808265,8.402347416095026,-0.13032966995980222,0.11956044136556787,0.09340659340659341,0.7692307692307693
partner_count_when_bidder_side_controls_vs_other,partner_support_timing,"When bidder's side controls the trick, does partner count donation beat other same-state actions?",35,0.4076503804751805,-0.6169469152178083,1.758349815436772,-0.4076503804751805,-0.00500000034059797,-0.01871428582817316,0.5428571428571428,0.37142857142857144
partner_count_into_defense_vs_other,partner_support_timing,"When defense controls the trick, is partner count donation into that control punished?",43,-11.592937118785326,-14.482742797496707,-9.484738790711692,11.592937118785326,-0.19546511708650477,0.162441864631377,0.06976744186046512,0.8604651162790697
setter_pounce_count_vs_other,setter_pounce,"When the bidder side is winning, does a setter pounce with count beat other same-state actions?",22,6.435907992724837,1.927596560531211,11.183813756437633,-6.435907992724837,0.026136360385201195,-0.028863635887815195,0.7727272727272727,0.13636363636363635
setter_pounce_sets_now_vs_other,setter_pounce,"When pouncing count sets the bid immediately, does it dominate other same-state actions?",8,9.559470434498508,3.5407425508019514,17.85044141113758,-9.559470434498508,0.018749989569187164,-0.015625,0.625,0.25
setter_reckless_count_to_bidder_vs_other,setter_pounce_negative_control,Is setter count that fails to win the trick punished as the book warns?,107,-7.505775219704259,-9.518164103332838,-6.062492719877546,7.505775219704259,-0.11004672831394405,0.11018691728953446,0.09345794392523364,0.8130841121495327
closure_take_trick_vs_decline,last_seat_closure,"From last seat, does taking the trick beat declining when both are available?",44,10.246607657521963,5.894029575654051,14.804894266142087,-10.246607657521963,0.15693181903440168,-0.10693181613036855,0.6363636363636364,0.20454545454545456
closure_take_count_vs_other,last_seat_closure,"From last seat, does taking count beat other same-state closure options?",16,4.760989136993885,-1.8725695386528969,11.108302056789398,-4.760989136993885,0.05968750367173925,-0.0696874976856634,0.5625,0.375
closure_slough_count_vs_other,last_seat_closure_negative_control,"From last seat, is sloughing count while declining the trick punished?",96,-6.341332353341083,-8.596175442449749,-4.197303503130873,6.341332353341083,-0.08286458469228819,0.08177083271827239,0.2604166666666667,0.6145833333333334
